precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.00;10.00;16.20;4.00;66.00;89.00;37.00;3.80;263.00;10.20;185.00;18.60;2.60
0.00;10.10;17.10;3.20;72.00;97.00;35.00;3.00;318.00;7.00;169.00;19.00;2.70
0.10;11.00;17.10;5.60;77.00;98.00;43.00;2.50;4.00;7.50;101.00;18.60;2.60
0.00;11.00;19.90;4.70;60.00;89.00;24.00;3.20;253.00;8.10;185.00;19.00;3.00
0.00;10.70;17.40;4.30;67.00;83.00;42.00;2.50;24.00;6.80;102.00;14.70;2.30
0.00;11.60;15.70;6.60;73.00;88.00;45.00;3.30;30.00;11.10;64.00;15.10;2.20
3.70;11.10;15.90;7.20;81.00;96.00;54.00;2.90;18.00;8.40;53.00;12.40;1.70
0.00;11.80;20.40;6.70;64.00;96.00;23.00;2.40;329.00;6.40;59.00;14.30;2.60
0.00;14.20;22.10;6.30;51.00;82.00;24.00;4.00;292.00;10.60;327.00;19.20;3.40
0.00;15.80;25.10;8.40;46.00;89.00;20.00;4.30;302.00;13.30;330.00;20.20;3.80
0.00;14.20;22.50;7.50;57.00;86.00;24.00;3.90;245.00;11.10;184.00;20.30;3.80
0.00;13.10;19.40;6.90;78.00;97.00;51.00;2.50;92.00;6.50;156.00;18.60;2.80
0.00;12.70;19.70;7.30;72.00;97.00;38.00;2.70;188.00;9.80;190.00;16.90;2.80
0.00;12.50;17.40;7.70;84.00;98.00;63.00;2.70;154.00;7.40;130.00;10.30;1.60
0.00;12.70;17.50;7.60;82.00;98.00;59.00;2.40;206.00;7.80;187.00;13.00;2.00
1.30;13.30;18.10;9.20;77.00;98.00;45.00;2.80;292.00;13.90;316.00;10.80;1.70
0.00;11.40;15.30;6.50;39.00;60.00;25.00;7.60;322.00;23.40;326.00;22.40;3.50
0.00;12.70;17.90;5.20;44.00;61.00;24.00;4.80;267.00;20.50;308.00;18.50;3.20
0.70;12.80;17.90;8.10;42.00;73.00;27.00;11.80;311.00;27.70;311.00;12.30;3.00
0.00;11.60;16.00;8.40;44.00;57.00;32.00;8.70;320.00;19.60;309.00;20.60;3.10
0.00;11.00;17.10;6.50;49.00;74.00;26.00;6.40;289.00;15.80;327.00;22.00;3.30
0.00;11.50;15.80;5.80;69.00;83.00;38.00;3.60;81.00;9.50;126.00;13.00;2.10
0.00;13.60;16.50;12.20;74.00;83.00;63.00;9.20;74.00;19.90;80.00;7.80;1.60
0.90;13.50;15.30;12.30;88.00;97.00;79.00;3.90;65.00;10.50;60.00;4.60;0.80
0.00;13.60;18.90;9.50;82.00;98.00;52.00;2.60;180.00;8.70;180.00;17.90;2.70
0.00;13.10;17.20;8.60;81.00;98.00;56.00;2.30;108.00;7.50;143.00;14.90;2.20
0.00;13.80;16.30;10.80;82.00;95.00;74.00;4.60;39.00;16.20;46.00;6.40;1.20
32.10;12.40;13.90;11.10;81.00;99.00;61.00;4.00;318.00;16.50;328.00;2.00;0.60
0.00;16.10;20.80;12.70;46.00;63.00;29.00;8.30;314.00;23.60;322.00;21.20;3.70
0.00;18.30;24.40;14.80;50.00;61.00;31.00;6.60;307.00;17.30;324.00;23.20;4.00
0.00;16.30;22.90;10.50;69.00;95.00;41.00;2.80;58.00;9.40;339.00;23.60;3.80
0.00;13.50;18.10;9.60;88.00;97.00;70.00;2.90;163.00;9.00;149.00;21.60;2.80
0.00;14.40;18.40;11.80;84.00;94.00;66.00;2.30;45.00;8.30;75.00;11.60;1.90
