"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;19.55;25.73;14.69;72;92;42.2;0.85;120;4.13;197.5;25.1;4.37
1;16.5;21.04;11.94;75.3;92.6;51.79;0.81;51.69;5.09;71;19.7;3.29
0;14.4;21.25;7.86;62.47;90.4;29.45;1.27;139.1;5.52;188;27.27;4.33
0;17.81;24.22;12.7;80.2;100;50.96;1.23;211.8;5.33;147.3;24.88;4.18
0;17.32;21.08;12.84;69.48;95.2;49.89;1.16;130.9;5.84;160.5;26.02;4.14
0;17.18;20.74;12.65;64.27;87.9;40.44;1.24;181.1;5.27;163.8;25.22;4.16
0;14.28;18.74;8.95;54.57;78.3;31.31;2.08;334.4;9.65;236.8;16.86;3.64
0;17.65;23.11;10.86;71.2;88.2;48.99;0.98;183.4;6.04;175.9;25.19;4.26
0;18.13;23.85;10.18;81.5;98.1;62.78;1.06;159.4;5.44;157.7;28.34;4.57
0;24.78;30.09;19.72;48.29;74.9;26.91;1.07;169.2;4.75;168.9;29.51;5.95
0.4;20.07;24.53;17.64;77.1;87.5;54.31;0.69;57.73;5.62;96.5;13.85;2.91
0;25.07;32.11;18.11;36.88;55.96;20.9;0.78;82.5;4.43;140.6;28.29;5.61
0;20.86;24.8;16.52;80.4;94.5;61.41;1.08;201.9;5.25;144.6;28.32;4.91
0;19.36;25.37;13.18;66.27;78.6;36.33;1.4;202.8;6.27;163.8;30.44;5.47
0;21.3;25.95;16.54;75.8;91.4;51.77;0.9;122.1;5.76;173.3;25.82;4.7
0;19.77;24.29;14.99;69.22;84.7;46.92;1.69;133.4;7.22;163.7;28.79;5.19
0;24;31.3;17.09;62.62;85.4;24.19;1.24;156.4;6.23;133.8;28.78;6.02
0;21.92;27.8;14.47;79.1;97.5;60.68;1.12;153.9;5.18;187.3;28.57;5.15
0;24.56;29.82;18.05;46.15;67.96;29.91;0.79;132.2;4.25;150.3;28.81;5.55
0;24.4;27.88;21.33;69.53;86;51.56;1.06;130.6;4.9;137.7;24.59;4.96
0;26.81;33.72;21.74;34.64;86.3;12.63;1.93;216.6;9.38;207;28.07;7.18
0;27.36;33.18;23.68;57.83;86;27.28;1;160;5.98;176;28.03;6.1
0;23.96;27.42;19.93;81.3;95.9;57.44;1.1;178.2;5.57;160;28.12;5.31
0;21.97;27.16;17.08;56.55;82.3;34;0.96;129.8;8.75;94.2;27.63;5.22
0;27.2;33.98;20.82;53.46;85.7;24.08;2.28;234.8;9.45;250.4;29.24;7.42
0;25.15;31.89;16.96;65.58;85.5;39.26;1.12;175.9;5.19;140.1;25.79;5.34
0;24.43;29.69;17.36;73.1;91.1;56.52;1.04;175.1;7.39;140.7;26.02;5.02
0;25.55;30.35;20.46;66.48;83.5;37.66;0.78;121.6;5.26;137.2;26.18;5.17
0;25.86;29.69;21.6;67.59;85.6;51.7;0.9;79.6;6.14;93.8;24.92;5.01
0;27.03;32.51;22.6;72.3;91.5;42.47;1.1;180.9;5.46;154.1;21.16;4.83
0;27.92;32.36;23.88;75.7;91.2;59.06;0.98;80.1;5.84;191.3;24.35;5.18
