"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;10.84;21.32;2.52;50.88;82.5;21.44;3.23;54.14;8.52;59.76;20.1;4.37
0;9.42;21.66;-0.94;61.91;91;25.12;1;101.7;5.2;218;19.97;2.82
0;8.6;19.99;-0.94;70.4;94.6;34.94;2.98;55.83;11.58;48.7;18.82;3.54
0;10.64;16.6;4.93;72.7;92.6;50.65;3.92;50.23;9.61;43.07;23.05;3.71
0;9.35;19.25;2.72;67.56;89.7;32.53;2.04;58.41;7.87;39.11;19.74;3.22
0;9.58;20.79;0.19;66.64;94.7;25.58;1.04;76.3;4.51;314.8;19.57;2.82
0;11.49;18.93;4.93;66.89;91.9;27.66;2.34;237.4;7.45;237.4;15.68;3.22
0.2;7.81;12.72;-0.15;63.87;90;32.21;3.14;252.5;8.12;217.5;13.9;2.66
0.2;2.87;10.85;-3.88;65.62;92;29.13;1.58;247.7;6.02;291.9;18.5;2.26
0.8;4.02;10.92;-2.88;74.1;94;45.71;2.52;307.4;8.48;266.5;14.04;2.08
0.2;4.03;9.66;0.05;75.3;91;48.46;4.04;249.3;14.79;311.9;9.31;1.98
0;3.03;10.65;-6.01;71.3;95.8;37.89;1.27;196.9;6.2;214.4;14.67;1.9
0;6.89;13.06;-0.55;62.2;87.9;39.02;1.75;99.2;6.47;198.6;11.3;2.1
2.8;7.57;10.06;4.53;71.3;88;58.62;2.73;95.8;8.37;97.8;6.49;1.6
0.4;9.64;16.13;3.72;70.1;89.2;45.3;1.64;181.7;6.93;232.6;15.41;2.5
1.2;8.13;13.32;5.66;76.4;93.9;48.58;1.38;194.1;4.98;217.2;11.21;1.9
0;11.69;16;7.39;62.25;84.5;40.69;2.55;197.2;10.33;178.6;10.67;2.63
0;11.84;21.19;3.92;78.7;96.7;43.22;1;33.31;4.62;242.6;21.12;3.11
7.6;8.92;12.4;5.86;78.8;94.4;46.78;1.18;202.7;7.35;214.4;3.27;1.28
1.2;7.42;13.06;3.52;81.7;95.7;49.32;1.71;246.2;6.27;283.7;12.49;2.03
2;6.28;10.39;-0.14;88;96.7;63.36;2.01;236;6.32;224.8;10.97;1.63
0.2;11.7;18.52;6.66;85.9;96.7;54.71;1.43;239.9;4.13;244.9;11.74;2.2
0.2;12.87;23.13;2.39;69.83;96.4;32.93;1.71;76.2;8.08;223.9;20.98;3.76
0.2;15.97;22.12;12.26;71.4;87.5;47.43;1.95;57.4;5.88;54.46;8.58;2.65
0;12.76;20.86;6.13;71.2;94.5;36.14;1.84;51.52;6.26;59.5;22.87;3.75
1;14.61;24.46;5.73;62.51;92;26.79;1.71;80.5;8.09;203.5;19.56;3.98
0;14.42;24.4;4.13;63.21;93.8;22.65;1.3;73.1;6.23;223.9;22.52;3.95
0;12.59;20.05;6.26;72;94.3;47.9;2.85;48.91;10.51;43.18;22.55;3.73
0;11.15;18.25;4.39;73.3;89.4;51.17;3.1;55.3;9.07;65.68;20.99;3.42
0;13.4;23.46;4.13;67.13;94.9;30.26;1.4;60.07;4.18;51.98;22.61;3.88
0;14.66;24.2;4.33;64.72;94;28.39;1.05;85.1;4.8;226.6;21.38;3.67
0;14.07;22.53;7.53;72.1;92.2;37.94;0.97;143.2;4.76;199.1;18.59;3.2
2.2;9.26;14.46;5.66;83.3;94.3;53.06;1.97;227.5;7.2;237.9;8.74;1.96
0;14.86;24.86;5.4;67.8;95.2;29.59;0.82;169.3;4.7;217.2;22.85;3.71
0;14.5;24.66;4.33;57.41;95.6;19.45;1.45;73;5.75;56.93;23.12;4.28
0;13.43;24.8;2.66;55.44;91.2;11.56;0.74;11.09;4.89;5.41;23.14;3.71
9;12.77;23.86;2.86;68.46;95.4;27.79;1.22;95.2;5.56;246.8;18.89;3.56
4;11.29;17.06;7.33;74.5;93.9;51.05;3.3;238.8;9.22;245.5;14.21;2.92
0;9.77;16.2;4.26;77.1;95.8;38.69;0.79;36.58;6.23;284.2;15;2.39
0;8.9;13.86;3.26;73.7;94;45.77;1.43;226.8;7.05;255.7;15.32;2.43
0.6;10.34;16.26;3.52;78.9;96.1;55.06;1.35;212.9;6.66;222.3;13.8;2.32
1.6;9.73;15.13;4.59;75.9;96.3;36.49;1.89;254.8;7.82;240.4;15.71;2.8
0;7.65;14.39;-0.48;68.43;94.3;36.15;2.24;238.5;6.12;279;22.81;3.29
0;9.5;16.79;0.53;63.39;92.3;31.13;1.95;245.6;5.55;276.1;22.72;3.59
0;12.29;20.52;3.79;69.22;95.6;33.47;1.71;229.4;6.38;272.7;23.39;3.93
0;11.83;19.32;5.52;73.1;96.7;44.16;1.18;234.1;5.08;245.7;21.34;3.33
0;12.1;18.86;4.99;73.4;94.7;39.08;0.78;223.9;4.01;242.9;18.14;2.92
0;11.53;20.99;1.46;73.1;96.8;34.27;1.23;224.1;6.24;55.22;24.57;3.83
0;10.5;22.26;0.99;56.56;94;12.36;1.14;49.01;5.55;343.9;24.62;4.11
0;9.96;17.19;1.92;66.78;91.2;38.95;3.29;54.71;8.13;32.16;25.41;4.05
0;13.67;26.53;0.73;54.83;87.9;15.76;0.89;98.9;3.45;218.3;24.23;4.25
0;15.45;24.73;7.39;56.29;88;17.1;1.01;211.2;6.09;223;18.47;3.76
0;16.66;25.26;9.46;60.84;86.4;28.66;1.28;75.2;5.94;55.11;25.52;4.66
0;17.2;26.13;8.86;61.09;89.9;27.72;1.45;62.67;6.29;33.58;24.58;4.76
0;17.06;26.33;6.12;61.54;93.9;29.12;1.12;60.38;4.41;32.44;25.1;4.56
0;16.92;26.27;7.06;64.89;95.1;25.45;1.04;221;4.93;264.5;23.98;4.42
0;15.26;22.32;6.79;65.84;93.7;18.97;1.22;328.3;5.46;281.3;23.35;4.21
0;12;22.46;1.86;64.98;95.9;27.19;2.36;49.06;9.47;56.94;25.7;4.82
0;9.83;16.2;3.99;59.31;87.5;32.07;3.76;57.05;7.97;56.55;26.25;4.37
0;11.48;22.06;0.32;50.57;88.8;13.63;2.54;67.52;6.68;52.09;27;5.33
0;13.55;23.93;3.99;53.41;89.3;22.98;3.15;62.03;8.24;46.95;25.35;5.61
0;13.64;23.73;3.52;41.58;77.9;12.49;3.94;61.35;9.79;56.35;27.97;6.63
0;13.19;22.06;2.92;49.31;86.8;22.71;3.79;58.07;8.93;71.9;27.56;5.73
0;13.75;24.33;1.32;51.33;90.9;20.17;1.33;179.6;5.08;236.9;26.84;4.75
0.4;11.78;20.92;3.79;64.03;89.7;26.99;2.18;208.8;8.46;245.9;18.13;4
0;11.14;18.33;2.39;56.03;94.2;26.12;1.65;210.5;7.2;249.9;22.52;3.85
9.8;9.74;15.66;5.4;70.7;92.8;38.96;2.95;212.2;9.57;214;15.25;3.16
6.6;8.84;13.79;4.66;78.3;90.2;49.78;3.44;225.8;8.72;249.6;12.81;2.66
1;10.15;15.66;4.19;67.51;91.2;39.56;2.53;234;8.14;219.2;21.73;3.59
0;10.34;18.85;1.19;64.24;95.4;29.12;1.05;32.44;5.58;42.61;24.14;3.72
0;10.7;17.52;3.52;69.34;96.1;33.28;1.33;242.7;5.18;27.34;18.17;3.18
0;10.51;17.79;2.32;63.55;94.5;30.8;1.3;41.62;5.11;279.4;23.63;3.71
0;13.11;19.65;6.66;61.89;90.8;30.27;1.01;154;4.55;26.67;17.79;3.27
6.8;11.35;16.06;7.13;82.9;95.6;60.88;1.71;100.7;7.33;77.1;13.93;2.45
2;12.53;17.8;7.13;77.6;95.6;49.98;0.96;228.3;5.19;234.5;15.27;2.7
3;12.15;18.19;7.33;71.2;94.8;39.22;3.38;51.22;7.99;71.4;24.87;4.32
0;15.3;25.6;3.66;58.88;95.3;23.85;1.21;229.1;6.01;235.8;26.57;4.83
0;16.42;23.66;5.46;51.74;81.8;29.59;2.57;172.1;9.16;197.5;16.53;4.42
0;12.55;20.59;4.99;69.88;93.1;43.7;2.38;59.13;8.18;56.63;25.24;4.31
0;12.84;21.92;2.53;64.65;96.1;26.79;1.56;54.55;6.05;25.81;27.17;4.63
0;14.59;22.12;7.73;64.54;92.1;30.73;1.59;223;5.52;59.85;25.33;4.55
0;14.95;24.86;5.33;57.55;95.2;17.84;1.02;200.2;6.59;237.5;23.89;4.41
0;15.16;23.19;6.26;62.21;92.8;33.2;1.8;215.9;7.15;233.5;23.05;4.48
0;15.91;26.73;4.06;57.39;93.5;26.79;1.18;205.5;6.57;225.7;26.44;4.9
0;15.15;25.06;4.46;61.07;93.5;26.85;1.16;229.5;7.19;309.1;22.14;4.27
0;20.04;29.54;12;55.73;88.6;21.04;1.1;127.6;4.29;212;24.71;5.13
0;15.76;25.4;3.79;62.5;94.5;27.52;1.17;38.72;5.13;59.29;21.81;4.27
0;22.37;31.28;14.66;51.15;84.8;19.77;1.03;69.01;6;108;26.56;5.53
0;21.88;31.14;11.33;53.95;92;23.38;1.84;61.97;7.07;57.2;26.05;6.05
0;18.51;25.93;9.4;53.12;84.1;23.18;4.15;51.35;8.55;68.11;28.27;6.84
0;16.3;23.53;8.26;55.9;83.7;26.19;4.14;50.4;9.75;18.51;28.32;6.26
0;14.33;21.59;6.66;57.39;87.9;30.53;3.6;56.21;9.95;37.67;24.89;5.23
0;16.63;25.4;6.86;54.48;91;26.45;2.29;58.63;6.35;36.82;28;5.66
0;17.64;27.47;6.19;49.53;91.7;16.57;1.84;58.08;5.43;48.01;28.46;5.9
0;20.64;30.21;9.87;45.87;78.5;18.84;1.5;83.6;4.88;242.1;25.64;5.72
0;19.29;27.87;11.53;58.08;96;22.51;1.1;217.9;9.81;238.8;26.97;5.21
3.8;22.05;30.47;13;54.28;95.8;29.26;1.3;164.1;6.64;205.4;21.34;4.88
0;17.96;27.27;7.13;53.49;90.3;23.85;0.88;127.9;4.98;236.4;19.84;4.08
0.2;18.74;27.94;7.46;59.19;95.9;25.32;1.29;100.6;5.3;73.1;19.38;4.4
12.8;14.55;18.14;11.06;80.3;95.5;60.68;0.95;23.81;5;71.9;7.08;1.76
0;15.69;23.66;8.26;69.29;96.3;29.93;0.92;60.75;4.67;53.23;18.63;3.63
2.2;17.19;24.93;10.2;69.56;96;30.73;0.81;347.7;5.8;34.83;22.08;4.09
0.8;16.29;24.53;6.99;66.91;95;37.68;2.15;251;8.32;214;18.39;4.21
0;14.47;22.86;6;61.53;94.7;24.92;1.12;338.8;4.85;282.9;26.1;4.5
0;16.72;26.4;5.93;54.69;95;19.17;1.29;209.8;6.19;215.5;25.99;5.02
0;16.96;24.26;10.4;54.83;78.5;26.39;1.79;225.3;6.94;238.7;23.23;4.9
0;15.78;25;5.73;64.41;95.9;29.59;1.83;292.4;7.83;53.05;25.31;4.95
6.2;14.89;22.13;10.79;74.9;93.7;46.23;2.33;58.24;9.59;69.81;16.75;3.68
1.6;16.16;24.66;11.6;76.7;95;39.81;1.87;77.5;5.73;71.3;20.02;4.25
0;19.58;28.67;10.2;59.08;94.4;25.52;1.51;223.2;6.72;234.8;23.79;5.16
0;18.72;26.4;12.06;64.01;95.1;27.52;1.15;220.8;4.83;200.9;25.48;4.89
0;15.82;23.39;7.19;62.06;89.8;35.67;3.1;55.82;8.44;43.45;27.14;5.35
2;15.84;20.99;10.99;78.2;92.4;55.18;2.02;218.4;5.89;55.99;12.14;2.85
0;14.77;22.06;8.26;63.03;88.6;31.86;1.41;30.34;6.74;31.89;19.01;3.82
0;15.06;21.06;9.33;57.99;86.8;31.33;4.42;52.13;9.49;8.07;27.01;5.56
0;14.51;21.92;6.93;57.05;89.1;29.66;4.15;50.44;8.68;49.33;27.5;5.65
0;21.48;30.54;12.87;53.17;85.2;22.38;1.89;60.3;7.84;43.54;26.69;6.13
0;17.42;25.87;8.73;55.32;87.5;27.32;2.51;58.67;7.3;52.96;27;5.74
0;20.02;29.41;8.33;53.73;93;23.11;1.57;35.45;7.07;53.6;24.88;5.41
0;24.13;34.35;12.87;47.74;87.9;18.44;1.14;74.5;4.06;158.9;26.17;5.8
0;26.43;36.02;16.06;35.37;71;13.09;1.2;151.5;5.12;218.2;25.66;6.08
0;24.21;35.08;13.6;34.43;72.6;9.89;1.82;197.7;8.19;216.7;25.79;6.85
0;21.47;32.34;7.86;51.95;95.2;18.9;1.04;70.4;5.69;242.8;24.95;5.15
0;22.49;32.75;11.26;35.41;66.43;18.5;1.62;202.6;8.18;224.3;19.57;5.47
0;16.7;23.59;10.86;67.42;94.2;35.07;1.68;246.6;5.07;267.9;21.33;4.26
4;15.24;22.67;9.06;74.5;94.5;43.89;1.41;215.5;6.31;185.2;11.14;2.79
0;18.2;26.67;9.06;57.75;88.8;27.79;1.8;60.86;6.2;52.27;26.79;5.37
0;20.3;30.21;9.13;51.41;94.3;13.69;1.54;51.82;5.52;38.51;26.27;5.73
0;22.5;32.01;11.4;49.06;89.3;18.5;1.41;52.41;4.54;60.44;26.03;5.75
0;23.25;32.55;13.73;52.81;84.6;19.84;1.97;72.1;7.38;66.11;20.87;5.81
0;23.01;32.01;15.2;57.5;89.2;17.23;1.86;73.8;7.72;49.61;24.03;6.03
0;23.41;32.95;14.74;55.81;90.9;23.25;2.19;63.35;7.1;73.6;24.34;6.34
0;23.33;32.75;14.4;48.78;79.1;21.71;1.97;65.77;6.24;45.34;24.78;6.28
0;20.32;27.4;15.27;54.29;73.8;29.59;3.75;54.16;9.02;29.97;24.53;6.55
0;17;23.66;7.73;58.71;90.7;33.13;3.37;55.83;8.27;66.43;24.09;5.21
0;18.07;27.07;8.66;56.76;88.6;28.72;2.05;62.11;6.7;66.02;26.08;5.42
0;17.84;24.6;10.86;61.42;92.4;35.54;1.53;225.4;5.72;257.7;19.29;4.02
0;20.08;29.67;10.26;63.44;95.5;24.72;1.45;232.6;6.35;39.08;23.18;5.03
0;18.38;27.13;8.73;64.18;96.3;29.66;1.12;210.8;4.68;221.7;18.54;3.92
0;20.78;29.54;12.06;56.31;92.3;20.71;1.14;52.52;4.7;217.9;23.98;4.9
0;20.25;28.87;11.73;60.06;94.7;26.25;1.27;45.21;5.7;51.89;21.55;4.6
0;20.24;30.14;8.06;55.9;95.3;22.85;1.12;238.7;4.78;226.3;23.78;4.81
0;20.65;29.47;10.33;55.71;90.8;27.72;1.65;240.8;6.98;237.8;23.58;5.11
0;20.91;31.08;10.47;57.65;94.4;24.78;0.74;232.3;4.32;229.7;23.9;4.56
0;21.67;30.01;11.8;54.54;84.2;23.18;1.31;240.4;6.64;189.7;21.86;4.82
0;20.55;29.61;11.66;59.48;93.5;26.12;1.19;218.7;6.94;244.7;20.53;4.45
0;20.6;29.41;12.46;61.06;95.2;25.05;1.03;35.16;5.28;275.5;22.6;4.53
