"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0.8;12.26;17.68;7.1;66.34;94;28.17;2.63;224.7;7.94;267.9;16.01;3.21
0.6;7.8;11.45;1.6;66.25;95.7;36.79;3.73;267.4;9.26;258.2;14.36;2.53
0;3.24;10.58;-3.16;66.35;90.8;33.62;1.9;248.7;7.22;293.7;20.95;2.43
3.38;5.12;10.45;-3.43;77.3;96.5;46.28;2.73;239.3;8.82;257.7;6.92;1.72
2.59;4.14;10.59;0.33;78.8;93.2;56.38;4.36;263.8;15.81;304.6;5.79;1.74
0;3.83;9.84;-4.57;71.5;96.8;43.73;1.53;170.3;6.93;232.1;14.85;1.9
0;3.91;10.45;-4.38;72.8;95.4;45.47;3.42;307.8;8.7;315.1;12.97;2.13
0;7.12;11.59;-0.22;63.15;86.1;45.47;1.64;112.1;6.56;157.7;9.23;1.79
0;15.1;24.51;4.02;60.06;98.2;20.7;1.46;353.4;9.32;236.9;23.57;4.19
3.18;8.2;13.39;4.95;77.2;98.9;44.05;1.95;175;7.51;183.2;10.04;2
0;9.82;13.46;5.49;72.8;93.9;58.51;3.3;170.2;9.97;177.2;14.87;2.33
0;11.7;14.94;9.11;63.72;78.6;43.38;4.56;170.6;13.12;199.7;9.23;3.03
7.96;9.74;12.67;4.88;73.2;98.5;46.34;3.2;191.8;9.93;175.2;5.74;1.91
1.19;7.71;12.59;4.75;81.8;98.9;47.41;2.4;261.5;7.53;272.4;16.83;2.43
1.19;7.28;11.05;2.67;87.3;98.7;58.79;2.31;244.1;6.9;219.3;13.44;1.93
1.39;11.75;18.41;6.29;88.7;99.6;58.68;1.61;250.6;5.22;273.1;12.34;2.21
0;13.46;22.23;5.42;76.1;100;36.29;1.21;157.3;6.72;251.6;22.95;3.56
0;13.64;23.17;2.61;67.99;99.7;27.55;1.79;184.1;8.02;263.4;22.22;4
0;13.33;22.1;4.35;69.34;99;35.35;1.35;36.52;4.3;270.4;24.38;3.76
1.19;16.24;25.26;7.5;55.77;90.6;24.66;2.03;136.7;10.95;186.2;20.24;4.41
0;12.89;21.69;3.68;72.3;98.1;36.69;1.71;33.72;6.74;14.32;23.49;3.83
0;9.91;18.88;1.53;81.2;99.2;53.44;1.32;51.6;5.55;24.82;17.78;2.7
0;13.28;23.23;2.2;67.64;99.5;29.37;1.14;63.16;4.57;30.63;24.86;3.9
0;14.42;22.97;4.09;62.95;95.2;32.33;1.35;136.2;6.25;196.1;21.12;3.7
0;14.47;21.9;8.77;71.4;91.4;36.96;0.98;137.9;4.32;300.9;16.01;2.96
0;15.31;24.84;5.42;64.83;96;29.36;1.01;131.8;5.67;326.8;25.69;4.13
0;15.47;24.71;4.62;57.43;96.9;25;1.43;53.56;6.28;38.64;26.04;4.48
0;14.67;24.77;2.74;54.92;92.3;24.66;1.34;37.67;7.1;287.4;26.63;4.47
15.92;13.01;22.77;4.83;76.9;96.7;35.21;1.53;224.6;9.88;135.1;15.45;3.26
0;9.9;15.8;6.36;76;93.3;39.47;2.15;238.8;7.06;256.5;15;2.84
0;10.66;14.87;6.63;76.4;96.1;47.54;1.22;201.5;5.6;306.3;13.95;2.34
0;9.92;14.61;4.42;67.54;94.7;42.84;2.09;229.4;7.74;267;17.25;2.84
3.98;11.36;16.2;6.83;77.9;98.9;48.94;2.04;202.5;7.05;264.7;18.07;2.92
4.78;9.92;14.34;4.41;78.3;98.8;39.94;2.87;253.3;9.32;235.8;15.2;2.84
0;7.86;14.26;1.86;71.6;95.2;39.67;2.78;255.3;7.87;295.7;23.31;3.37
5.17;11.38;17.02;7.03;77.9;97.1;61.05;3.55;238.4;10.73;283;10.76;2.37
0;10.23;17.14;2.2;65.87;95.1;31.87;2.59;265.7;7.24;283.8;25.39;4
0;13.11;20.63;5.03;67.02;98.1;32.4;2.29;244;6.75;288.6;24.49;4.28
0;11.98;19.55;4.35;73.2;98;43.29;1.44;237.4;6.52;278.3;22.29;3.52
0;11.97;18.54;6.29;75.9;96.8;45.57;1.21;232.6;4.72;325.3;21.58;3.33
0;12.93;21.02;3.55;68.97;98.6;33.61;1.56;255.8;6.47;277.3;27.87;4.35
0;10.66;19.69;1.13;63.04;96.5;34.15;2.27;35.02;7.1;354.9;28.65;4.44
0;15.37;26.79;0.13;46.9;86.5;15.45;1.11;153.5;6.4;240.2;27.71;4.86
0;10.49;21.96;-1.69;57.34;97.2;16.47;1.04;46.91;4.28;276;28.09;4.25
0;16.43;25.46;7.83;52.88;86.7;20.43;1.4;194;7.34;281.2;18.16;4.11
0;16.81;25.45;8.98;59.27;85.5;29.83;1.08;122.3;5.91;190.1;24.71;4.46
0;16.96;25.92;7.1;60.91;95.4;29.83;1.36;355.8;5.66;4.3;25.35;4.7
0;18.38;26.98;9.05;58.86;93.4;28.82;1.3;40.48;5.69;338.7;27.84;5.1
0;18.62;26.85;8.31;55.7;93.2;21.57;1.7;259.6;6.46;241.1;27.08;5.36
0;15.47;23.3;6.22;58.63;91.1;21.24;1.46;262.1;6.94;312.4;27.13;4.8
0;13.45;24.25;1.14;55.31;94.9;20.9;2;344.8;7.39;285;29.68;5.37
1;13.35;18.28;9.18;66.89;95.3;36.77;2.55;18.45;6.44;354.3;25.6;4.35
0;10.8;17.75;1.53;56.28;97.6;26.62;2.56;34.45;7.5;20.33;30.16;4.64
0;13.25;24.44;-1.83;40.9;93.4;10.55;2;40.5;5.92;19.95;30.86;5.69
0;14.68;25.31;2.07;47.14;92.8;15.45;1.73;39.36;6.07;87;27.73;5.3
0.2;0.21;9.42;-5.79;89.7;98.5;59.85;0.66;101.5;2.98;341.2;7.77;0.44
0;15.19;25.51;2.47;35.91;78.5;12.36;2.74;30.36;9.14;352.4;30.97;6.46
0;13.77;24.04;1.06;43.13;85.5;11.29;2.38;35.25;7.19;52.11;31.2;5.98
0;15.02;24.91;0.19;44.63;94.2;14.58;1.65;227.8;6.83;268.6;30.46;5.46
0;14.15;20.09;5.48;51.19;84.7;27.97;3.62;203.6;12.58;230.1;21.03;4.74
0;11.47;17.08;1.73;53.79;95.8;29.85;2.93;188.8;9.53;170.3;24.47;4.21
6.37;9.74;14.2;3.35;69.72;95.1;44.38;3.75;197;10.5;206.1;11.1;2.69
6.57;9.34;14.88;3.28;75.9;93.3;44.92;3.57;231.2;8.37;258.3;12.52;2.84
0.6;10.63;15.66;3.34;62.58;92.3;34.15;2.74;261.9;8.8;256.1;26.33;4.1
0.2;10.88;19.49;0.4;60.03;97.9;26.08;1.09;345.2;5.87;223.6;24.34;3.84
0;11.02;17.94;4.48;63.2;96.7;28.77;1.17;344.6;6.52;335.2;26.23;3.97
0.4;10.51;18.22;2.67;69.05;92.5;34.82;1.53;200.6;6.83;241.3;21.12;3.56
0;12.76;18.96;5.89;77.5;100;53.65;1.61;258.6;5.73;234.6;14.34;2.74
0;14.44;19.89;8.51;52.6;77.6;30.05;1.18;259.7;5.79;159;17.78;3.49
18.11;11.01;16.02;8.04;92.3;99;66.17;1.66;238.6;7.52;45.26;11;2.05
0;21.07;30.46;9.65;48.55;86;21.16;1.56;1.13;6.49;288.2;29.93;6.17
0;11.44;17.14;5.15;69.49;94.8;45.58;2.96;35.18;8.64;17.66;22.48;3.76
0;13.02;21.69;2.94;66.78;98.3;31.85;1.87;36.06;6.78;0.1;28.38;4.78
0;13.66;22.5;3.14;59.54;98.3;23.12;1.23;34.06;6.15;354.3;29.52;4.82
0;16.84;26.32;3.61;52.42;95.8;23.72;2.03;231.3;7.59;271.9;30.15;5.84
0;15.06;22.16;6.22;61.72;91.8;31.59;1.57;251.9;7.93;262.4;23.3;4.33
0;15.63;26.12;3;50.33;94.7;16.94;1.51;183.4;7.08;147;29.06;5.45
0;16.96;23.71;6.63;52.85;86.9;32.26;2.75;174.9;9.83;173.3;13.53;4.11
0;15.82;23.37;6.43;59.83;94.3;31.25;2.35;209.1;11.41;151.1;23.43;4.82
0;16.55;27.53;3.48;55.89;97.1;19.48;1.64;189.6;7.82;194.2;30.65;5.86
0;15.54;25.65;3.35;59.17;94.9;27.15;1.51;255.1;8.08;271.5;26.22;4.98
0;15.59;26.24;2.47;59.33;97.7;27.75;1.01;16.1;5.22;295.3;21.83;4.2
0;22.2;30.27;11.39;52.72;93.4;29.9;1.88;178.7;7.93;183.7;22.92;5.46
0.2;18.53;29.2;5.55;58.19;96.1;24.99;1.26;143.3;9.7;200.6;25.46;5.17
1.39;21.74;31.53;10.11;50.97;90.6;22.3;1.39;119.4;6.65;77.1;29.5;6.13
0;22.62;31.74;10.19;49.17;92.6;21.83;1.42;26.25;6.19;21.18;28.54;6.07
0;19.77;27.19;12.06;49.71;91.7;16.87;2.71;27.05;7.67;38.17;31.4;6.82
0;16.86;25.65;5.89;52.43;95.8;25.73;2.89;38.07;8.68;20.8;30.76;6.22
0;14.86;22.57;5.49;54.52;87.6;27.49;2.58;33.92;7.29;355;27.95;5.36
0;17.32;26.11;5.36;51.19;95.1;19.22;1.64;30.27;5.39;8.4;30.86;5.77
0;17.82;28.12;2.74;47.81;98.1;11.22;1.18;21.3;7.02;172.7;30.93;5.68
0;20.68;30.94;8.84;47.63;86.1;19.75;1.36;132.5;6.62;201.4;24.95;5.53
0;19.53;27.99;10.45;46.54;85.4;19.75;1.69;193.4;7.2;208.4;28.4;5.89
0;18.01;28.26;6.77;51.06;88.9;20.42;1.58;164.6;7.31;172.6;27.6;5.66
0;19.63;28.73;5.89;48.78;94.8;22.84;1.64;182.5;7.6;200.2;27.55;5.7
18.51;14.28;19.15;11.39;82;97.7;54.38;1.61;44.25;6.67;213.1;10.03;2.36
0;16.46;24.1;8.31;70.1;99.4;31.51;0.95;7.02;4.94;327.7;22.76;4.15
0;18.81;28.66;6.96;56.78;97.4;16.46;1.9;205.1;7.74;290.5;30.2;6.27
3.78;17.42;25.44;11.05;72.3;97.9;32.11;1.59;229.4;5.08;226.5;23.7;4.75
0;17.39;25.18;7.5;61.63;95.7;34.54;2.49;252.9;8.88;249.2;24.05;5.1
0;14.74;22.83;5.69;59.96;98.6;23.99;1.18;308.8;5.63;223.6;29.69;4.92
0;16.91;27.52;4.95;51.49;88.6;15.59;1.69;224.5;6.99;236.2;30.66;6.01
0.4;16.37;24.25;8.64;59.35;91.1;31.45;2.01;232.3;6.96;266.6;19.58;4.42
3.78;16.59;22.91;11.86;64.16;83.7;37.7;2.27;349.2;8.61;40.84;21.43;4.57
4.58;15.74;20.02;11.19;77.2;96.4;56.87;1.53;40.83;7.22;135.7;12.8;2.69
0;18.54;26.51;11.52;64.37;98;30.43;1.5;233.3;5.69;262.8;28.97;5.45
0;16.32;25.44;2.87;57.97;96.6;30.91;2.18;38.52;6.85;342.4;30.6;5.66
0;20.74;29.53;10.65;56.24;94.8;24.52;1.95;222.8;7.78;287.2;27.64;6.05
3.98;16.75;22.03;13.67;79.3;97.6;46.37;1.95;234.7;6.92;313.3;13.8;3.23
0;15.48;22.29;9.64;67.96;97.6;33.06;1.33;336.8;6.02;317;23.77;4.28
0;24.79;35.89;11.45;32.23;75.1;8.8;2.17;202.1;9.17;267.9;29.51;7.75
0;17.03;25.64;8.04;60.34;92.9;29.5;1.65;292;6.15;29.32;29.65;5.46
0;16.27;22.7;10.78;53.66;82.8;26.01;3.18;32.14;7.67;31.12;30.8;6.05
0;15.22;23.63;5.02;54.09;94.8;26.81;2.41;28.18;8.19;38.17;30.83;5.64
0;18.53;27.25;8.11;53.37;93.9;20.89;1.65;23.51;5.29;307.1;30.43;5.85
0;21.8;31.53;7.77;52.31;97.1;22.16;1.29;26.15;6.1;284.9;29.74;5.98
0;24.1;34.28;11.31;46.25;93.2;14.64;1.23;66.26;6.31;270.5;29.67;6.31
0;25.05;36.29;11.12;37.56;79.9;12.69;1.44;160.3;8.67;160.5;29.47;6.8
0;22.75;33.15;10.31;35.35;69.62;13.97;2.46;223.4;10.21;176.4;21.71;6.75
0.2;15.87;23.43;10.31;72.4;97.5;34.4;1.85;253.9;5.55;283.7;21.66;4.33
5.97;16.24;24.25;11.12;68.18;96.1;39.58;2.19;212.2;8.12;279.2;12.35;3.51
0;18.13;27.32;6.49;58.27;99;22.3;1.23;42.96;5.68;4.96;29.41;5.35
0;18.77;29.05;4.88;53.38;98.4;21.49;1.51;31.25;5;36.92;28.8;5.61
0;21.17;30.99;8.64;46.22;94.9;15.25;1.31;37.88;5.29;317.7;29.82;5.96
