precipitacion;temp_med;temp_max;temp_min;humedad_med;humedad_max;humedad_min;vel_viento_med;dir_viento;vel_viento_max;dir_viento_racha_max;Rs;ETo
0.00;7.52;15.62;0.63;77.20;99.30;47.64;1.19;14.18;5.09;326.80;7.28;1.05
30.80;16.79;21.17;13.63;88.30;100.00;64.73;0.74;233.60;3.20;65.25;9.70;1.61
2.22;17.47;23.12;13.23;69.99;93.80;38.58;2.43;136.30;9.32;201.50;10.29;2.91
0.00;15.13;26.86;5.80;68.66;94.60;27.41;0.79;88.40;3.58;240.90;17.19;2.57
0.00;16.83;30.99;5.07;51.01;95.10;14.58;0.89;66.26;5.31;121.30;17.32;3.09
0.00;18.65;24.53;15.64;56.19;68.29;39.99;3.57;150.80;11.62;126.30;11.59;4.16
12.00;7.05;12.41;0.64;90.10;100.00;68.16;2.00;117.20;11.68;105.70;6.52;0.99
0.20;13.05;21.84;6.81;80.30;97.40;43.36;0.79;92.30;3.80;144.10;13.14;1.41
0.00;9.50;17.35;2.25;74.00;95.40;43.57;1.15;18.14;5.66;336.60;12.61;1.37
0.00;12.15;20.23;2.65;56.13;89.80;38.38;1.75;27.89;7.52;31.31;13.19;1.97
6.00;14.51;16.32;13.04;97.20;100.00;88.90;3.44;209.10;10.26;202.30;2.27;0.71
0.00;6.03;14.62;-0.84;79.50;99.00;49.50;0.91;155.30;3.47;214.40;10.23;0.75
0.00;9.85;14.89;4.59;82.40;95.60;64.57;1.62;53.58;7.64;61.47;7.56;0.90
0.00;11.78;17.49;6.47;80.20;99.90;59.91;1.74;93.90;7.32;119.90;9.39;1.05
0.00;7.36;10.54;3.72;60.26;85.30;39.98;3.69;283.20;11.75;295.80;11.47;2.06
0.00;7.64;11.34;4.46;66.52;77.30;57.54;5.80;103.80;13.53;99.90;12.71;2.19
0.40;13.34;17.78;10.75;84.70;91.70;70.40;4.41;236.60;13.08;244.00;4.99;1.71
0.62;7.65;11.15;4.39;74.70;99.00;53.71;3.62;122.50;10.64;94.90;9.42;1.59
0.00;6.54;13.61;-0.51;64.56;100.00;34.24;1.80;17.71;8.42;65.82;15.09;1.78
0.00;13.00;19.35;5.59;48.80;84.10;30.79;3.09;91.00;8.84;97.30;18.97;3.64
0.00;11.22;24.17;-0.63;61.25;97.50;18.07;0.91;34.36;4.90;246.60;20.25;2.90
0.00;9.20;16.02;0.70;56.13;88.10;30.13;1.85;15.22;8.45;53.76;19.15;2.75
0.00;15.73;27.12;5.20;62.43;97.10;27.55;1.15;108.30;6.59;112.80;19.72;3.31
8.80;13.33;15.83;9.28;77.20;95.30;48.90;5.30;211.50;15.15;209.30;10.00;2.66
0.00;19.92;26.04;11.62;56.67;95.60;33.52;2.72;137.90;10.44;124.70;25.22;5.11
4.80;11.85;15.96;7.74;86.90;99.30;71.60;3.54;103.60;9.49;119.00;13.42;2.10
6.46;9.93;13.42;7.85;74.60;91.50;60.69;3.89;199.30;11.24;200.40;12.46;2.29
0.00;16.36;26.72;6.74;59.93;90.30;23.12;1.17;80.96;3.59;100.90;23.03;4.17
11.00;8.98;11.69;6.74;85.60;100.00;55.86;3.68;242.90;9.99;226.00;9.63;1.93
0.00;23.16;31.04;13.64;54.82;91.00;23.43;1.23;304.50;6.27;255.30;28.53;5.71
0.00;21.79;31.45;9.89;58.26;98.60;26.86;1.72;87.30;9.79;115.40;28.29;5.99
8.69;11.96;15.16;10.43;84.80;91.10;69.90;3.71;140.00;10.60;210.30;7.94;1.95
16.60;16.37;23.52;13.17;81.60;100.00;39.19;1.96;215.80;9.01;241.20;12.45;3.28
0.00;18.88;25.92;11.70;65.97;99.90;42.40;1.35;85.40;5.51;121.60;26.24;4.70
0.00;19.37;27.17;11.22;54.23;89.00;26.40;1.03;240.20;4.21;282.50;23.46;4.63
7.00;22.36;29.19;18.99;59.83;87.30;35.60;4.30;142.00;13.47;188.30;19.07;6.24
0.00;21.91;27.53;14.05;54.29;85.30;31.11;1.94;293.00;6.28;272.90;26.34;5.65
0.00;26.65;37.08;15.44;46.13;87.40;20.28;0.97;328.30;4.82;133.70;30.42;6.52
5.00;15.66;19.98;12.97;91.20;100.00;67.92;2.19;228.40;6.47;237.80;11.91;2.42
0.00;22.95;29.98;14.50;36.77;65.67;15.98;2.04;39.83;6.37;9.92;31.32;6.97
0.00;25.84;34.60;16.05;47.75;87.30;21.62;1.60;237.80;5.78;236.60;31.27;7.02
0.00;29.58;38.74;19.39;46.63;85.00;21.28;1.36;260.50;6.38;317.10;28.60;6.99
0.00;23.18;32.65;14.11;53.69;93.80;18.53;1.37;217.00;5.31;269.10;30.86;6.47
0.00;27.09;35.68;15.92;52.82;90.60;24.58;1.51;226.60;5.96;142.90;30.51;6.92
0.00;23.25;31.78;14.37;62.18;96.60;29.48;1.58;228.30;5.42;222.50;27.62;5.81
0.00;27.79;37.87;16.64;41.96;78.90;18.53;1.29;239.20;5.66;214.80;25.91;6.21
0.00;25.15;31.93;18.38;41.11;61.61;26.35;2.81;32.38;7.28;31.52;26.01;7.08
0.00;22.13;30.86;13.30;34.02;56.73;18.54;1.95;45.74;7.48;48.42;28.98;6.53
0.00;24.80;34.13;15.12;41.68;78.40;19.20;1.39;43.49;7.46;109.70;28.58;6.22
7.20;20.18;30.13;13.77;76.90;99.10;31.23;1.52;225.20;14.07;231.80;20.05;4.33
0.00;21.66;29.66;15.31;61.86;92.60;28.48;1.19;236.90;5.45;226.50;22.90;4.38
0.00;22.49;32.66;13.71;52.77;83.00;22.36;1.46;212.10;4.54;214.50;22.45;4.96
0.00;20.00;27.91;12.43;41.09;62.53;23.58;1.56;2.62;5.99;270.50;23.88;4.74
0.00;22.50;31.58;13.71;64.79;99.00;29.48;0.95;49.20;5.76;98.30;24.01;4.41
0.00;8.11;15.67;1.78;82.80;96.30;56.41;0.91;79.00;5.23;134.50;9.13;0.84
0.00;5.69;16.01;-0.57;83.70;100.00;43.44;1.06;161.40;4.57;147.00;10.31;1.03
9.49;10.56;13.94;4.79;78.10;93.40;51.39;3.57;238.30;15.34;233.20;9.75;1.61
0.00;10.70;20.76;3.58;75.00;99.10;43.29;1.28;41.85;5.17;348.00;9.64;1.38
0.20;6.47;12.33;0.90;78.00;100.00;46.34;1.83;298.50;7.50;284.60;9.50;1.13
24.60;16.34;21.37;13.43;90.50;99.80;64.73;1.50;152.80;7.02;91.90;11.57;1.93
6.26;17.29;21.05;15.24;87.20;95.40;68.79;2.50;131.60;6.29;138.20;5.86;1.70
1.41;13.52;21.64;5.33;75.20;94.40;44.50;1.21;216.30;5.75;241.40;17.49;2.40
0.00;17.23;29.86;6.94;50.70;91.70;18.61;0.90;49.90;3.76;245.40;16.81;2.95
7.40;17.74;21.73;15.51;90.00;99.00;68.56;1.05;216.00;5.84;233.30;4.07;1.22
12.80;11.47;15.63;8.54;88.50;97.10;73.20;3.61;209.40;14.63;92.80;5.00;1.23
0.20;11.70;22.58;4.39;81.90;97.50;42.67;0.37;75.40;2.53;101.10;12.89;1.08
0.00;8.33;16.89;1.31;82.70;97.30;56.21;0.74;222.80;3.26;241.00;10.48;1.01
0.00;10.85;21.77;2.38;76.30;100.00;36.56;0.92;192.70;3.34;139.10;13.10;1.50
0.20;4.48;14.87;-2.05;89.30;100.00;56.75;0.47;68.29;2.54;20.43;9.78;0.52
0.00;9.49;15.49;3.11;83.30;97.30;66.18;1.87;59.34;6.51;89.50;8.19;0.94
0.20;6.85;15.47;1.91;93.00;99.90;68.13;0.77;166.90;5.31;142.80;9.13;0.61
12.50;8.37;13.64;3.38;79.10;99.30;60.35;3.38;276.30;14.61;217.80;7.02;1.26
16.08;6.00;7.94;2.92;90.60;95.40;85.00;2.23;158.10;9.55;124.00;2.93;0.66
0.00;9.23;13.01;5.60;66.19;78.20;52.47;2.92;87.90;8.57;124.10;8.69;1.88
0.40;14.19;19.04;10.22;78.20;94.60;48.88;3.76;244.90;8.94;271.20;9.14;2.46
0.20;9.57;12.89;6.81;68.56;81.90;59.41;5.05;95.60;10.98;90.90;11.33;2.12
5.74;9.49;17.23;0.37;76.70;96.50;54.26;1.80;229.30;6.84;205.70;13.02;1.71
0.00;11.53;20.09;1.85;55.90;93.50;24.53;1.96;69.55;8.07;68.15;18.93;3.25
0.00;11.12;23.83;-0.17;62.97;99.60;18.34;0.94;245.50;4.50;236.10;20.54;2.94
0.00;8.64;14.28;2.25;57.93;81.90;35.11;2.53;29.19;8.57;27.80;20.89;2.91
0.00;13.80;21.65;5.66;71.80;100.00;40.80;1.34;328.20;5.42;324.70;14.19;2.50
3.20;9.81;12.63;8.27;79.60;91.30;60.57;5.76;230.10;13.38;206.40;11.69;2.20
0.20;16.48;25.11;7.94;69.78;97.70;30.37;1.14;164.60;4.57;214.20;25.54;4.18
1.20;13.31;23.03;4.72;78.00;100.00;37.63;0.95;60.85;7.75;54.55;22.68;3.47
1.01;10.49;13.42;7.74;76.70;86.00;60.62;4.30;191.60;11.92;192.00;10.80;2.34
0.00;17.02;29.48;4.27;57.17;97.80;16.92;0.93;26.96;2.76;132.10;25.51;4.42
0.00;9.62;14.62;4.26;67.82;95.20;41.43;2.98;276.30;8.57;324.80;19.86;3.10
0.00;21.85;29.43;12.43;46.25;73.60;19.47;1.58;1.47;7.16;11.93;29.68;6.04
0.00;23.23;32.65;13.24;50.19;92.00;22.57;1.74;97.30;7.79;83.40;28.85;6.40
17.57;11.79;15.42;9.55;85.20;93.80;67.73;2.56;142.60;11.80;145.40;12.17;2.21
2.66;14.42;19.11;11.76;82.40;99.90;55.68;3.24;207.70;9.53;284.20;13.45;2.89
0.00;17.83;25.38;10.03;69.49;100.00;40.58;1.75;230.30;6.76;245.80;24.30;4.58
0.00;23.62;32.39;11.29;48.22;93.80;22.29;2.76;96.90;12.22;110.00;29.78;7.37
0.60;18.98;22.91;15.98;75.30;91.30;54.98;2.06;232.30;7.38;275.00;18.14;3.76
0.00;22.01;29.39;14.98;46.90;73.20;23.45;1.68;327.50;5.66;245.00;31.18;6.48
0.00;28.33;38.07;16.72;46.66;92.60;20.68;1.27;30.63;6.41;127.90;29.19;6.85
0.00;16.96;22.85;10.89;78.00;100.00;49.94;1.33;247.80;5.04;279.20;19.83;3.66
0.00;23.43;31.59;14.91;36.33;60.25;17.59;1.52;39.36;4.94;37.95;31.48;6.70
0.00;26.97;35.85;17.58;44.03;76.30;13.36;1.90;214.40;5.42;235.50;31.51;7.74
0.00;27.16;35.21;18.52;42.30;83.00;13.63;1.75;250.40;5.93;239.60;29.71;7.24
0.00;26.10;36.47;14.98;48.90;91.90;13.23;1.17;230.40;4.93;229.30;30.58;6.70
0.00;23.02;29.39;18.46;76.30;97.40;47.76;1.62;234.10;5.12;269.00;21.66;4.74
0.00;24.71;32.86;15.78;57.56;95.90;27.01;1.53;226.70;6.56;205.00;27.10;5.89
0.00;26.41;34.27;18.58;39.18;82.30;12.02;1.40;233.60;6.18;275.80;27.84;6.27
0.00;24.96;34.47;16.32;35.16;58.87;19.48;1.92;42.40;7.38;85.50;27.52;6.86
0.00;24.45;33.66;14.44;30.83;59.76;16.12;1.62;34.71;6.02;32.29;28.47;6.47
0.00;25.95;36.15;14.11;53.51;93.60;20.68;1.41;46.30;8.05;118.00;27.00;6.20
0.00;19.92;27.18;14.16;81.40;99.80;46.55;0.76;223.40;4.38;283.10;19.43;3.35
0.00;20.56;30.60;10.49;52.17;91.10;17.20;1.23;235.10;5.53;240.50;23.54;4.56
0.00;22.98;33.93;12.57;53.92;89.90;18.33;0.89;243.10;5.01;143.00;21.05;4.22
0.00;23.92;33.06;14.84;45.61;77.40;22.90;1.58;313.20;6.99;277.70;23.70;5.26
0.00;26.30;31.47;19.87;45.19;73.10;30.63;3.54;96.40;9.55;105.50;23.60;6.61
0.20;6.56;14.08;-1.44;79.00;100.00;52.06;1.65;81.10;8.72;122.70;10.65;1.08
0.20;6.26;13.49;0.84;87.40;98.40;62.10;1.01;60.42;4.39;208.80;9.53;0.76
0.20;7.81;16.83;0.77;89.20;100.00;63.42;1.05;219.30;5.36;269.60;9.86;0.87
0.00;3.48;10.07;-1.98;87.40;100.00;57.60;0.64;76.60;2.54;143.20;7.55;0.60
13.00;14.91;16.30;13.69;89.00;99.40;73.10;3.52;192.80;11.02;206.00;4.88;1.36
26.06;17.29;19.64;15.70;89.20;96.60;78.10;2.24;109.60;7.19;145.20;6.24;1.40
26.66;13.78;16.30;12.63;90.70;95.90;80.40;3.31;117.00;9.74;112.80;5.45;1.25
0.00;20.19;32.45;9.62;44.14;76.70;19.00;1.80;140.70;9.23;111.70;16.86;4.39
0.00;18.60;24.84;11.49;78.90;100.00;47.57;1.06;100.00;4.39;98.60;12.15;2.20
0.60;13.06;16.97;10.34;86.80;98.50;68.47;1.50;221.50;7.03;230.50;7.75;1.12
0.00;11.12;22.04;3.65;81.50;97.80;40.46;0.45;65.09;2.13;44.67;12.48;1.10
2.02;9.70;17.35;2.72;87.60;97.10;65.50;0.61;208.20;3.20;231.90;7.40;0.87
0.20;10.63;23.72;0.17;67.91;100.00;27.56;0.98;45.29;4.29;12.22;12.86;1.74
4.60;12.24;14.84;9.02;99.50;100.00;92.00;1.21;85.40;5.34;52.57;2.96;0.60
0.20;4.62;12.47;-2.32;91.50;100.00;70.10;1.28;147.00;6.90;140.80;8.91;0.64
0.00;9.25;14.55;3.79;81.10;96.30;63.43;1.63;75.30;7.61;97.70;7.77;0.89
0.41;5.56;9.67;3.04;98.70;100.00;88.70;0.93;174.40;4.31;149.10;5.41;0.42
0.00;5.40;12.27;-0.77;73.00;99.90;44.93;1.33;32.87;6.70;48.52;10.28;0.87
3.62;7.91;10.29;5.59;93.40;96.20;87.00;1.43;82.90;5.09;96.40;3.36;0.67
0.00;7.65;15.47;1.03;74.00;97.00;44.78;1.42;81.90;6.48;118.40;13.89;1.64
33.21;10.19;11.89;8.88;88.10;97.40;75.50;6.40;115.40;12.92;123.70;3.80;1.19
0.20;9.17;13.81;0.30;58.03;98.60;26.57;2.11;337.10;8.27;350.30;15.73;2.06
0.00;12.72;18.63;5.87;50.58;80.90;30.86;3.98;107.70;12.88;100.10;17.67;3.89
0.00;10.37;21.23;0.10;65.93;98.50;25.14;1.25;199.70;6.27;231.60;19.74;2.92
0.00;8.14;17.96;-1.84;61.44;96.10;25.48;1.34;39.68;5.54;50.19;20.71;2.76
0.00;12.96;18.10;8.42;53.42;80.20;28.98;3.26;344.80;10.79;337.20;18.74;3.72
3.00;11.08;15.36;6.87;74.00;95.00;52.80;3.16;231.10;8.93;229.50;16.71;2.52
0.00;16.71;25.25;8.34;66.68;97.60;30.51;1.04;29.78;5.37;46.09;22.68;3.88
0.00;17.19;21.64;11.42;55.00;77.10;37.78;4.31;95.70;11.45;91.50;24.80;5.15
5.86;11.46;15.44;8.68;79.90;90.40;56.65;2.77;191.10;11.00;190.60;13.83;2.54
0.00;18.04;29.32;6.14;54.73;97.90;20.49;1.08;311.70;6.37;205.60;25.08;4.56
12.80;8.67;10.95;7.21;90.80;96.20;75.40;3.43;160.50;11.57;99.30;5.54;1.26
0.00;19.89;29.66;7.95;48.49;93.90;17.40;1.32;259.70;6.81;262.10;30.45;5.78
0.00;22.93;34.39;11.83;56.06;96.70;18.20;1.16;124.00;5.84;137.30;27.28;5.85
5.45;12.14;16.83;9.55;85.00;93.60;60.13;1.55;210.40;5.66;231.20;13.99;2.47
2.26;16.04;21.59;12.50;77.00;95.80;45.11;3.24;213.60;10.09;252.20;16.53;3.82
0.00;14.54;19.17;9.76;51.12;98.20;27.84;2.59;300.10;8.50;288.10;29.69;4.89
0.80;26.98;34.38;20.99;40.57;59.44;20.20;2.47;63.83;10.32;111.10;30.38;8.19
0.00;17.53;23.18;13.36;60.56;88.20;32.40;1.82;230.90;6.03;256.10;20.97;4.43
0.00;23.95;32.53;13.78;51.86;84.60;26.39;1.66;287.40;6.44;277.30;29.92;6.57
0.00;29.63;39.21;18.52;43.21;85.80;17.92;2.29;86.50;9.46;115.20;28.89;8.27
0.00;19.97;27.52;10.76;69.62;100.00;42.86;1.33;327.90;5.77;331.70;31.17;5.57
0.00;25.43;33.59;14.84;40.53;80.40;19.27;1.37;27.97;6.10;99.40;30.93;6.62
0.00;26.42;37.33;15.85;47.15;89.40;9.67;1.22;233.70;5.09;235.40;32.02;7.07
0.00;25.45;32.07;19.79;36.78;58.99;19.28;1.80;347.20;5.90;307.60;30.23;7.07
0.00;28.19;39.54;15.85;47.81;95.20;13.03;1.02;245.40;5.06;277.50;31.04;6.89
0.00;24.69;33.41;15.65;56.97;100.00;21.56;1.32;230.20;6.85;227.00;30.67;6.47
0.00;25.97;33.26;17.71;47.01;75.40;23.84;1.97;306.90;7.87;288.40;27.17;6.53
0.00;23.10;31.13;14.63;55.13;91.80;24.38;1.59;248.30;6.25;258.40;19.64;4.91
0.00;25.58;35.61;16.11;41.77;74.00;18.60;1.55;45.37;7.74;116.40;27.21;6.44
0.00;25.73;35.74;15.11;32.05;68.41;13.03;2.05;78.20;8.11;84.30;28.02;7.25
0.00;26.10;36.01;15.64;50.37;95.10;20.75;1.41;237.60;7.83;274.00;26.70;6.16
0.20;20.54;27.84;14.77;81.20;99.90;46.29;0.93;232.00;4.61;237.50;20.79;3.64
0.00;21.50;29.05;15.44;52.43;76.60;29.23;1.95;224.40;7.70;205.70;22.68;4.98
0.00;23.84;34.74;12.97;50.85;89.20;19.81;1.67;189.00;7.59;123.30;22.17;5.37
0.00;22.83;30.72;14.11;46.22;75.00;28.07;1.37;20.97;5.96;8.40;23.32;4.68
0.00;25.92;33.26;19.12;52.23;76.60;30.42;2.58;105.10;11.69;113.80;23.17;6.10
0.80;8.57;12.48;5.93;81.10;95.50;52.28;2.06;228.60;6.75;277.50;7.36;1.18
0.20;5.56;15.21;-1.85;86.90;100.00;57.69;0.72;123.20;3.43;190.30;9.69;0.75
0.00;7.82;12.81;2.98;81.10;97.30;60.28;1.39;120.10;7.03;119.40;9.51;0.88
0.00;7.72;13.21;1.57;63.92;99.80;35.72;2.16;23.16;9.09;29.91;10.88;1.44
15.40;14.30;17.44;12.36;86.70;97.20;60.26;3.63;200.50;10.12;130.70;7.13;1.95
1.41;17.43;22.02;14.30;75.10;96.70;49.39;1.69;33.36;5.61;39.04;15.67;2.56
0.81;14.02;17.57;11.09;88.90;96.00;71.00;1.11;219.70;5.10;297.50;6.12;1.23
0.00;18.57;30.53;9.15;59.24;96.30;26.06;0.78;313.00;4.44;241.80;17.42;2.80
2.20;22.42;27.46;17.66;64.88;90.00;38.64;3.90;121.90;9.05;133.20;16.12;4.46
3.00;15.93;18.05;14.03;86.70;93.50;78.20;4.10;182.90;10.11;193.70;2.61;1.27
0.20;10.76;20.29;3.38;85.00;97.90;55.45;0.55;92.00;2.75;185.00;11.22;1.04
0.20;12.92;21.37;6.13;79.80;97.00;47.79;1.01;46.78;3.88;17.87;9.72;1.37
0.00;12.58;18.16;6.54;54.88;92.00;34.09;2.29;29.05;8.85;0.48;12.96;2.09
0.20;12.63;18.90;7.88;96.10;100.00;82.20;1.27;51.59;5.49;70.10;9.77;0.99
1.01;10.58;13.02;8.42;79.90;87.40;67.96;3.78;117.70;9.69;128.60;3.70;1.33
0.00;6.23;10.66;3.65;96.90;100.00;78.60;1.24;31.21;6.64;141.30;6.84;0.53
0.00;5.45;12.13;-1.31;86.20;100.00;53.15;0.85;222.60;5.07;267.10;8.36;0.65
8.60;9.62;12.04;6.54;99.14;100.00;95.50;2.71;271.18;4.78;274.90;6.00;0.41
6.03;13.23;17.43;9.68;85.90;96.60;63.54;1.89;227.50;8.32;224.60;5.62;1.38
0.00;6.50;13.88;-1.71;84.10;100.00;55.63;2.02;239.20;7.56;237.80;13.01;1.55
1.62;14.38;15.70;12.16;86.60;91.00;75.60;4.88;235.40;10.53;265.20;2.81;1.43
24.80;10.32;14.30;7.20;84.70;100.00;58.74;2.05;225.80;6.96;238.20;8.24;1.41
0.00;5.27;10.88;-2.92;78.60;99.90;55.58;1.69;235.60;7.44;280.50;9.58;1.23
0.20;11.73;16.68;4.73;57.32;86.80;33.22;2.61;94.20;10.02;98.40;17.15;3.03
0.00;13.42;19.16;5.80;54.82;80.80;31.87;2.83;24.29;8.91;53.50;19.57;3.60
0.00;8.99;17.89;1.31;56.70;89.60;28.37;1.23;37.38;4.03;95.60;21.06;2.74
0.00;11.10;15.16;6.67;50.47;60.28;40.71;5.23;33.11;16.81;50.83;18.57;3.86
5.80;12.24;17.17;8.48;82.80;100.00;53.33;1.44;224.40;6.16;224.20;10.40;1.87
0.00;18.26;25.23;10.61;63.99;92.00;33.73;1.64;103.50;8.59;95.60;26.14;4.62
0.00;18.78;23.45;14.35;43.64;75.90;31.73;6.39;105.80;15.39;106.80;24.74;6.45
0.81;12.19;17.70;6.40;74.60;94.10;48.69;2.38;178.10;9.92;282.00;19.00;3.15
0.00;17.97;28.98;6.47;56.60;100.00;20.82;1.42;241.40;6.55;225.40;23.62;4.73
0.40;10.42;16.29;6.67;82.20;100.00;52.59;1.13;94.00;4.21;311.10;14.63;2.28
0.00;19.68;26.63;11.83;42.44;71.00;21.83;2.45;27.24;6.62;56.77;30.39;6.40
0.00;24.78;35.92;13.90;52.94;90.20;19.00;1.13;221.90;4.82;133.80;25.22;5.78
0.00;13.64;18.37;9.02;76.50;95.20;53.80;1.83;244.80;7.28;246.00;18.53;3.16
0.82;16.43;21.37;12.90;72.90;99.90;40.67;1.76;235.00;9.15;223.90;22.54;4.05
