"precipitacion";"temp_med";"temp_max";"temp_min";"humedad_med";"humedad_max";"humedad_min";"vel_viento_med";"dir_viento";"vel_viento_max";"dir_viento_racha_max";"Rs";"ETo"
0;7.72;18.27;-1.03;64.06;96.2;22.1;1.01;62.88;4.27;75.4;17.59;2.32
0.2;7.31;18.2;-2.97;62.34;92.8;25.58;1.44;49.53;7.52;86.2;19.17;2.68
0;7.84;17.66;-1.43;61.66;92.6;26.25;1.11;29.9;6.01;129.5;18.59;2.42
0;6.35;15.73;-2.23;66.82;95.3;29.01;0.95;70.1;4.9;101.5;18.91;2.2
0;6.77;17.06;-2.37;67.33;95.6;27.32;0.78;56.85;3.72;39.09;18.78;2.19
0;8.05;18.46;-1.3;61.39;94.2;19.42;0.73;241.3;3.65;112.2;19.47;2.34
0;10.23;21.54;-0.96;55.3;93.1;22.03;2.17;45.28;7.95;74.4;20.1;3.68
0;9.96;21.88;-0.76;60.82;91.9;19.76;0.92;241.6;4.92;160.9;20.14;2.81
0;10.08;19.94;0.78;67.85;94.4;32.48;1.4;71;6.91;101.2;18.85;2.84
0;8.98;17.93;0.91;70.6;93.8;37.9;1.01;48.11;4.53;64.25;19.06;2.47
0;10.17;21.01;0.24;67.16;95.6;28.26;1.07;253.6;6.49;219.7;18.66;2.78
0;10.39;16.74;5.46;74.8;86.3;54.33;1.9;236.5;7.53;215.8;10.86;2.11
0;5.86;11.6;-0.09;65.94;91.8;34.78;2.43;286.3;9.21;307.3;14.9;2.35
0;5.25;12.45;-1.83;60.79;89.4;28.74;1.28;284.7;6.59;291.4;20.75;2.43
1.59;6.49;13.07;1.24;72.3;85.9;44.42;2.23;260;10.03;283.8;10.15;2.08
0.6;4.04;10.59;-0.96;74.4;90.3;48.19;3.56;291;12.72;280.8;10.6;2.05
0;5.9;12.05;-0.16;60.35;83.1;33.5;3.43;313;10.69;314.5;20.71;3.02
0;3.15;10.85;-4.11;66.65;93.9;28.41;1.26;205.9;6.17;209.8;20;2.28
2.19;5.93;13.39;-2.03;73.9;93;41;1.46;99.1;7.65;113.7;10.37;1.89
0.6;8.52;13.79;3.44;76.6;94.4;48.43;1.94;199.7;6.66;159.9;17.3;2.44
11.74;6.52;8.66;4.71;90.2;93.9;81.1;1.55;63.74;6.11;56.16;4.22;0.91
6.97;9.43;14.4;6.99;82.9;91;59.09;2.29;168.9;7.18;166.3;10.26;1.98
7.16;9.27;13.01;7.86;84.2;90.3;64.47;2.27;158;9.38;177.9;4.19;1.42
0.2;12.11;20.07;4.18;80.2;95.7;47.61;1.04;187.3;5.85;114.2;19.6;2.9
6.57;8.46;12.32;6.52;84.4;93.9;66.25;1.52;174.8;4.85;266.6;11.24;1.71
1;8.13;13.93;2.92;75.8;93.9;50.58;1.36;279.2;6.5;318.8;17.73;2.36
0.8;6.43;10.39;-0.76;86.6;96.1;68.82;1.44;220.5;5.12;215.5;9.12;1.39
8.16;12.3;19.47;7.72;85.7;95.1;55.52;0.79;235.4;5.79;0.1;14.39;2.29
0;13.11;20;5.65;71.2;94.6;31.07;1.55;227.1;6.32;210.5;21.06;3.46
0;11.92;19.4;3.52;74.4;95.5;44.53;1.26;73.5;6.31;94.6;23.04;3.28
0;13.43;22.41;3.11;69.51;94.6;36.49;0.87;66.03;3.5;159.7;23.17;3.42
0;17.04;26.14;9.06;60.07;88.1;23.83;1.6;120.3;7.74;9.13;20.3;4.24
0;13.17;20.94;5.19;70.4;94.1;42.86;1.85;52.25;5.56;82.4;20.81;3.51
0;13;22.35;4.18;70.3;94.3;29.26;0.74;318;3.74;87;24.55;3.55
0;12.13;20.07;3.32;69.23;93.7;43.06;1.38;64.76;5.04;69.73;24.64;3.57
0;14.1;22.28;5.38;69.58;94.5;35.62;0.86;348.2;5.49;140.3;21.62;3.38
0;15.92;23.08;9.33;67.39;91.1;32.34;0.94;201.7;6.3;220.4;19.39;3.39
0;15.68;24.54;6.12;66.94;94.5;29.52;0.8;187.5;5.34;352.8;23.71;3.78
0;16.28;25.47;6.25;61.37;94.1;23.9;0.81;139.3;3.87;156.1;25.91;4.1
0;16.01;25.54;4.65;56.86;93.1;21.23;0.97;271.7;5.1;343.5;25.34;4.19
1.39;14.42;22.08;8.06;67.71;91.6;29.87;1.33;217.6;5.4;215.3;20.91;3.72
0.6;11.61;18.68;4.18;69.49;92.6;35.43;1.88;244.9;8.21;260.2;18.73;3.39
1.39;10.99;16.54;7.86;70.4;89.6;42.33;1.29;307.9;5.13;339.5;19.03;2.97
